id,parent_id,name,rank,common_name,obs_count
350364,354216,Climacocystis borealis,species,,43
512746,55922,Mycena rosea,species,Rosy Bonnet,43
895268,47379,Cerioporus,genus,,0
940028,895268,Cerioporus squamosus,species,Dryad's Saddle,43
48326,48327,Ramalinaceae,family,"bushy lichens, sea-fog lichens, and allies",0
48325,48326,Ramalina,genus,bushy lichens,0
54758,48325,Ramalina farinacea,species,Farinose Cartilage Lichen,42
47498,47167,Tricholomataceae,family,,0
62484,47498,Tricholoma,genus,Knights,0
408299,62484,Tricholoma sulphureum,species,Sulphur Knight,41
64013,47167,Omphalotaceae,family,,0
203670,64013,Mycetinis,genus,,0
1134741,203670,Mycetinis alliaceus,species,garlic parachute,41
58671,55523,Leotiales,order,,0
58672,58671,Leotiaceae,family,,0
58673,58672,Leotia,genus,Jelly Babies,0
58669,58673,Leotia lubrica,species,Ochre Jelly Club,40
119999,48419,Amanita excelsa,species,European False Blusher,40
124103,47379,Daedaleopsis,genus,,0
124102,124103,Daedaleopsis confragosa,species,Thin-walled Maze Polypore,40
85399,47394,Leucocoprinus,genus,,0
1558279,85399,Leucocoprinus leucothites,species,White Dapperling,40
175488,54321,Parmelina,genus,Fine Shield Lichens,0
462122,175488,Parmelina tiliacea,species,Linden shield lichen,39
63482,48702,Tylopilus,genus,,0
63489,63482,Tylopilus felleus,species,Bitter Bolete,38
64071,48769,Hypholoma capnoides,species,Smoky-gilled Hypholoma,38
154675,48444,Lycoperdon excipuliforme,species,Pestle Puffball,38
48718,48717,Pyronemataceae,family,,0
48719,48718,Aleuria,genus,,0
48716,48719,Aleuria aurantia,species,orange peel fungus,37
48339,48340,Russula,genus,brittlegills,0
194437,48339,Russula cyanoxantha,species,Charcoal Burner,37
351304,54597,Lactarius salmonicolor,species,Salmon milkcap,37
154391,1155395,Collybia,genus,,0
1525548,154391,Collybia nuda,species,Blewit,37
55154,50814,Gomphales,order,,0
48710,55154,Gomphaceae,family,,0
48707,48710,Ramaria,genus,Coral Fungi,0
54228,48707,Ramaria stricta,species,Upright Coral Fungus,36
117991,117956,Graphidaceae,family,Script Lichens and Allies,0
117992,117991,Graphis,genus,Graffiti Lichens,0
117987,117992,Graphis scripta,species,Common Script Lichen,36
353211,48340,Lactifluus,genus,,0
351324,353211,Lactifluus vellereus,species,Fleecy Milkcap,36
49073,55523,Helotiales,order,,0
791908,49073,Gelatinodiscaceae,family,,0
49072,791908,Ascocoryne,genus,,0
49075,49072,Ascocoryne sarcoides,species,Purple Jellydisc,35
54165,50815,Pseudohydnum,genus,,0
54164,54165,Pseudohydnum gelatinosum,species,Toothed Jelly Fungus,35
69211,54321,Punctelia,genus,Speckled Shield Lichens,0
341601,69211,Punctelia jeckeri,species,Powdered Speckled Shield Lichen,35
1181093,47167,Verrucosporaceae,family,,0
542909,1181093,Echinoderma,genus,,0
1280949,542909,Echinoderma asperum,species,Freckled Dapperling,35
566411,55922,Mycena crocata,species,saffrondrop bonnet,34
566555,47348,Cantharellus amethysteus,species,Amethyst Chanterelle,34
118247,47167,Lyophyllaceae,family,,0
625291,118247,Leucocybe,genus,,0
625290,625291,Leucocybe connata,species,White Domecap,34
